timestamp,i1_pos_switch_baseband,i1_pos_switch_fm_demodulated,i2_pos_switch_baseband,i2_pos_switch_fm_demodulated,m1_speed_baseband,m1_speed_fm_demodulated,o7_valve_baseband,o7_valve_fm_demodulated,o8_compressor_baseband,o8_compressor_fm_demodulated,current_task_baseband,current_task_fm_demodulated,current_task_duration_baseband,current_task_duration_fm_demodulated,current_sub_task_baseband,current_sub_task_fm_demodulated,i5_light_barrier_baseband,i5_light_barrier_fm_demodulated,current_state_binary
2023-02-06 14:26:48,0.0,0.133519,0.0,0.474996,0.510929,0.722714,0.0,0.395281,0.151421,0.176191,0.0,0.133263,0.086602,0.111357,0.0,0.10315,0.0,0.645036,1
2023-02-06 14:26:50,0.0,0.14795,0.0,0.485833,0.510929,0.714818,0.0,0.392331,0.151421,0.1957,0.0,0.11135,0.086602,0.138698,0.0,0.118815,0.0,0.665903,1
2023-02-06 14:26:52,0.0,0.125122,0.0,0.467499,0.510929,0.713593,0.0,0.387758,0.151421,0.165256,0.0,0.133834,0.086602,0.115586,0.0,0.110005,0.0,0.63553,1
2023-02-06 14:26:54,0.0,0.145979,0.0,0.483294,0.510929,0.724947,0.0,0.411639,0.151421,0.168688,0.0,0.135645,0.086602,0.104097,0.0,0.079911,0.0,0.663083,1
2023-02-06 14:26:56,0.0,0.178279,0.0,0.508326,0.510929,0.72388,0.0,0.401357,0.151421,0.214552,0.0,0.087215,0.086602,0.15553,0.0,0.1273,0.0,0.694352,1
2023-02-06 14:26:58,0.0,0.158098,0.0,0.492732,0.510929,0.711774,0.0,0.3833,0.151421,0.211416,0.0,0.094758,0.086602,0.156128,0.0,0.140602,0.0,0.671184,1
2023-02-06 14:27:00,0.0,0.146117,0.0,0.483893,0.510929,0.708429,0.0,0.386108,0.151421,0.200576,0.0,0.107549,0.086602,0.144804,0.0,0.128657,0.0,0.664429,1
2023-02-06 14:27:02,0.0,0.137277,0.0,0.477471,0.510929,0.71336,0.0,0.38369,0.151421,0.201125,0.0,0.119499,0.086602,0.142695,0.0,0.12521,0.0,0.647756,1
2023-02-06 14:27:04,0.0,0.123532,0.0,0.467272,0.510929,0.715712,0.0,0.396649,0.151421,0.177045,0.0,0.142039,0.086602,0.114139,0.0,0.094167,0.0,0.639236,1
2023-02-06 14:27:06,0.0,0.151427,0.0,0.489242,0.510929,0.715503,0.0,0.411342,0.151421,0.157167,0.0,0.132469,0.086602,0.09934,0.0,0.08322,0.0,0.66544,1
2023-02-06 14:27:08,0.0,0.178043,0.0,0.509842,0.510929,0.709638,0.0,0.403867,0.151421,0.175952,0.0,0.093591,0.086602,0.12654,0.0,0.122043,0.0,0.691001,1
2023-02-06 14:27:10,0.0,0.159961,0.0,0.495401,0.510929,0.697221,0.0,0.374221,0.151421,0.222964,0.0,0.079167,0.086602,0.176373,0.0,0.158913,0.0,0.678314,1
2023-02-06 14:27:12,0.0,0.113267,0.0,0.458177,0.510929,0.698987,0.0,0.374145,0.151421,0.238278,0.0,0.133862,0.086602,0.173137,0.0,0.125828,0.0,0.623021,1
2023-02-06 14:27:14,0.0,0.139209,0.0,0.478009,0.510929,0.719428,0.0,0.408699,0.151421,0.182597,0.0,0.138502,0.086602,0.107179,0.0,0.080455,0.0,0.6565,1
2023-02-06 14:27:16,0.0,0.175437,0.0,0.505989,0.510929,0.727823,0.0,0.389783,0.151421,0.174993,0.0,0.080531,0.086602,0.137956,0.0,0.144176,0.0,0.691604,1
2023-02-06 14:27:18,0.0,0.111171,0.0,0.455972,0.510929,0.702998,0.0,0.373012,0.151421,0.245063,0.0,0.130484,0.086602,0.186633,0.0,0.130767,0.0,0.622725,1
2023-02-06 14:27:20,0.0,0.134886,0.0,0.475281,0.510929,0.678727,0.0,0.424129,0.151421,0.215502,0.0,0.16462,0.086602,0.096962,0.0,0.039782,0.0,0.65295,1
2023-02-06 14:27:22,0.0,0.209356,0.0,0.533748,0.510929,0.706885,0.0,0.415713,0.151421,0.121418,0.0,0.072498,0.086602,0.067148,0.0,0.129736,0.0,0.722153,1
2023-02-06 14:27:24,0.0,0.14519,0.0,0.484232,0.510929,0.74635,0.0,0.366842,0.151421,0.191068,0.0,0.08858,0.086602,0.177191,0.0,0.161199,0.0,0.661368,1
2023-02-06 14:27:26,0.0,0.118442,0.0,0.463452,0.510929,0.750851,0.0,0.404595,0.151421,0.254367,0.0,0.162398,0.086602,0.157877,0.0,0.069279,0.0,0.6313,1
2023-02-06 14:27:28,0.0,0.186145,0.0,0.51616,0.510929,0.722717,0.0,0.417572,0.151421,0.188442,0.0,0.099902,0.086602,0.080079,0.0,0.106956,0.0,0.699131,1
2023-02-06 14:27:30,0.0,0.164549,0.0,0.499086,0.510929,0.699814,0.0,0.375823,0.151421,0.15249,0.0,0.070186,0.086602,0.138573,0.0,0.161885,0.0,0.683099,1
2023-02-06 14:27:32,0.0,0.122748,0.0,0.465455,0.510929,0.696657,0.0,0.374449,0.151421,0.199971,0.0,0.127639,0.086602,0.184271,0.0,0.126555,0.0,0.632774,1
2023-02-06 14:27:34,0.0,0.125752,0.0,0.467562,0.510929,0.696389,0.0,0.398611,0.151421,0.224389,0.0,0.143464,0.086602,0.165872,0.0,0.088887,0.0,0.64281,1
2023-02-06 14:27:36,0.0,0.169373,0.0,0.501235,0.510929,0.70814,0.0,0.413911,0.151421,0.22559,0.0,0.113904,0.086602,0.113414,0.0,0.097197,0.0,0.68548,1
2023-02-06 14:27:38,0.0,0.197442,0.0,0.523131,0.510929,0.72989,0.0,0.388692,0.151421,0.168044,0.0,0.04714,0.086602,0.071224,0.0,0.166909,0.0,0.711956,1
2023-02-06 14:27:40,0.0,0.134792,0.0,0.475078,0.510929,0.731389,0.0,0.35077,0.151421,0.11805,0.0,0.093504,0.086602,0.144835,0.0,0.174733,0.0,0.653794,1
2023-02-06 14:27:42,0.0,0.111072,0.0,0.456855,0.510929,0.710068,0.0,0.386827,0.151421,0.181399,0.0,0.146875,0.086602,0.179639,0.0,0.106064,0.0,0.61963,1
2023-02-06 14:27:44,0.0,0.136519,0.0,0.477754,0.510929,0.70826,0.0,0.394044,0.151421,0.192751,0.0,0.124719,0.086602,0.147549,0.0,0.109435,0.0,0.652797,1
2023-02-06 14:27:46,0.0,0.121586,0.0,0.466077,0.510929,0.727293,0.0,0.40184,0.151421,0.189366,0.0,0.149937,0.086602,0.177301,0.0,0.079455,0.0,0.633972,1
2023-02-06 14:27:48,0.0,0.188064,0.0,0.517745,0.510929,0.716644,0.0,0.427685,0.151421,0.256239,0.0,0.116672,0.086602,0.145724,0.0,0.078801,0.0,0.700616,1
2023-02-06 14:27:50,0.0,0.202074,0.0,0.528659,0.510929,0.672712,0.0,0.37395,0.151421,0.234985,0.0,0.029438,0.086602,0.037011,0.0,0.192854,0.0,0.722159,1
2023-02-06 14:27:52,0.0,0.095622,0.0,0.44425,0.510929,0.667384,0.0,0.345656,0.151421,0.115486,0.0,0.128519,0.086602,0.128543,0.0,0.167858,0.0,0.603755,1
2023-02-06 14:27:54,0.0,0.097221,0.0,0.445239,0.510929,0.70963,0.0,0.409153,0.151421,0.142405,0.0,0.169734,0.086602,0.195301,0.0,0.057293,0.0,0.614563,1
2023-02-06 14:27:56,0.0,0.170905,0.0,0.502155,0.510929,0.734877,0.0,0.412702,0.151421,0.217441,0.0,0.116233,0.086602,0.15016,0.0,0.08932,0.0,0.68719,1
2023-02-06 14:27:58,0.0,0.170121,0.0,0.501584,0.510929,0.736253,0.0,0.394656,0.151421,0.220307,0.0,0.094867,0.086602,0.122811,0.0,0.129911,0.0,0.684006,1
2023-02-06 14:28:00,0.0,0.14728,0.0,0.484924,0.510929,0.731664,0.0,0.386384,0.151421,0.207314,0.0,0.104569,0.086602,0.120088,0.0,0.131971,0.0,0.667174,1
2023-02-06 14:28:02,0.0,0.137592,0.0,0.477484,0.510929,0.715124,0.0,0.40103,0.151421,0.168609,0.0,0.137298,0.086602,0.159136,0.0,0.090711,0.0,0.646583,1
2023-02-06 14:28:04,0.0,0.184189,0.0,0.515254,0.510929,0.684884,0.0,0.422195,0.151421,0.187834,0.0,0.106989,0.086602,0.183339,0.0,0.092802,0.0,0.701586,1
2023-02-06 14:28:06,0.0,0.191846,0.0,0.521303,0.510929,0.687108,0.0,0.378815,0.151421,0.250453,0.0,0.049517,0.086602,0.094059,0.0,0.173801,0.0,0.706498,1
2023-02-06 14:28:08,0.0,0.110608,0.0,0.457133,0.510929,0.730446,0.0,0.369139,0.151421,0.204624,0.0,0.13665,0.086602,0.098814,0.0,0.130612,0.0,0.619341,1
2023-02-06 14:28:10,0.0,0.146896,0.0,0.485451,0.510929,0.746106,0.0,0.416153,0.151421,0.144111,0.0,0.134286,0.086602,0.182041,0.0,0.077054,0.0,0.666048,1
2023-02-06 14:28:12,0.0,0.176422,0.0,0.507025,0.510929,0.708113,0.0,0.376137,0.151421,0.225805,0.0,0.07183,0.086602,0.107892,0.0,0.16239,0.0,0.687418,1
