segment_idx,segment_start,segment_end,i3_photoresistor_psd_peak_baseband,i3_photoresistor_psd_peak_am_demodulated,i3_photoresistor_psd_mean_energy_baseband,i3_photoresistor_psd_mean_energy_am_demodulated,i3_photoresistor_psd_peak_freq_baseband,i3_photoresistor_psd_peak_freq_am_demodulated,i3_photoresistor_rms_baseband,i3_photoresistor_rms_am_demodulated,i3_photoresistor_mean_baseband,i3_photoresistor_mean_am_demodulated,i3_photoresistor_variance_baseband,i3_photoresistor_variance_am_demodulated,i3_photoresistor_fft_peak_baseband,i3_photoresistor_fft_peak_am_demodulated,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_am_demodulated,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_am_demodulated,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_am_demodulated,current_task_duration_rms_baseband,current_task_duration_rms_am_demodulated,current_task_duration_mean_baseband,current_task_duration_mean_am_demodulated,current_task_duration_variance_baseband,current_task_duration_variance_am_demodulated,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_am_demodulated,current_state_binary
49,2023-02-06T14:32:40.000000000,2023-02-06T14:33:38.000000000,0.025576,0.366056,0.021524,0.362779,0.0,0.378984,0.101183,0.126693,0.101583,0.136039,0.071279,0.343779,0.101583,0.136039,0.0,0.568959,0.0,0.568959,0.0,0.568959,0.0,0.568959,0.0,0.568959,0.0,0.568959,0.0,0.568959,1
50,2023-02-06T14:33:10.000000000,2023-02-06T14:34:08.000000000,0.030923,0.420067,0.025042,0.416249,0.0,0.426133,0.143619,0.213966,0.144223,0.222518,0.08598,0.388736,0.144223,0.222518,0.0,0.656535,0.0,0.656535,0.0,0.656535,0.0,0.656535,0.0,0.656535,0.0,0.656535,0.0,0.656535,1
51,2023-02-06T14:33:40.000000000,2023-02-06T14:34:38.000000000,0.011778,0.487859,0.009783,0.486486,0.0,0.493349,0.173775,0.323259,0.176215,0.331481,0.019331,0.424521,0.176215,0.331481,0.0,0.784536,0.0,0.784536,0.0,0.784536,0.0,0.784536,0.0,0.784536,0.0,0.784536,0.0,0.784536,1
52,2023-02-06T14:34:10.000000000,2023-02-06T14:35:08.000000000,0.000624,0.394418,0.00047,0.394485,0.0,0.411369,0.185772,0.236426,0.18858,0.246162,0.001716,0.338868,0.18858,0.246162,0.0,0.629557,0.0,0.629557,0.0,0.629557,0.0,0.629557,0.0,0.629557,0.0,0.629557,0.0,0.629557,1
53,2023-02-06T14:34:40.000000000,2023-02-06T14:35:38.000000000,0.026594,0.402893,0.02571,0.404295,0.0,0.435002,0.205782,0.283271,0.207829,0.291978,0.036999,0.364573,0.207829,0.291978,0.0,0.660192,0.0,0.660192,0.0,0.660192,0.0,0.660192,0.0,0.660192,0.0,0.660192,0.0,0.660192,1
54,2023-02-06T14:35:10.000000000,2023-02-06T14:36:08.000000000,0.008797,0.40272,0.008334,0.403084,0.0,0.425338,0.2387,0.302874,0.240488,0.311641,0.051123,0.363829,0.240488,0.311641,0.0,0.654427,0.0,0.654427,0.0,0.654427,0.0,0.654427,0.0,0.654427,0.0,0.654427,0.0,0.654427,1
55,2023-02-06T14:35:40.000000000,2023-02-06T14:36:38.000000000,0.016327,0.426525,0.013402,0.425335,0.0,0.441191,0.273536,0.353205,0.275203,0.361331,0.058272,0.385112,0.275203,0.361331,0.0,0.687301,0.0,0.687301,0.0,0.687301,0.0,0.687301,0.0,0.687301,0.0,0.687301,0.0,0.687301,1
56,2023-02-06T14:36:10.000000000,2023-02-06T14:37:08.000000000,0.007808,0.452049,0.014886,0.455894,0.0,0.463969,0.306875,0.413204,0.308764,0.420759,0.040137,0.406845,0.308764,0.420759,0.0,0.739241,0.0,0.739241,0.0,0.739241,0.0,0.739241,0.0,0.739241,0.0,0.739241,0.0,0.739241,1
57,2023-02-06T14:36:40.000000000,2023-02-06T14:37:38.000000000,0.026645,0.321357,0.024275,0.325329,0.0,0.353389,0.339852,0.291414,0.341697,0.300577,0.038479,0.298593,0.341697,0.300577,0.0,0.520729,0.0,0.520729,0.0,0.520729,0.0,0.520729,0.0,0.520729,0.0,0.520729,0.0,0.520729,1
58,2023-02-06T14:37:10.000000000,2023-02-06T14:38:08.000000000,0.000381,0.369741,0.000635,0.368982,0.0,0.390306,0.360354,0.367946,0.362552,0.375926,0.003772,0.339779,0.362552,0.375926,0.0,0.600654,0.0,0.600654,0.0,0.600654,0.0,0.600654,0.0,0.600654,0.0,0.600654,0.0,0.600654,1
59,2023-02-06T14:37:40.000000000,2023-02-06T14:38:38.000000000,0.000119,0.411542,0.000104,0.412236,0.0,0.428846,0.36691,0.423223,0.369114,0.431051,0.00135,0.35697,0.369114,0.431051,0.0,0.669571,0.0,0.669571,0.0,0.669571,0.0,0.669571,0.0,0.669571,0.0,0.669571,0.0,0.669571,1
60,2023-02-06T14:38:10.000000000,2023-02-06T14:39:08.000000000,0.025006,0.307249,0.021336,0.305665,0.0,0.343419,0.388113,0.325217,0.389728,0.3336,0.049659,0.287488,0.389728,0.3336,0.0,0.484068,0.0,0.484068,0.0,0.484068,0.0,0.484068,0.0,0.484068,0.0,0.484068,0.0,0.484068,1
61,2023-02-06T14:38:40.000000000,2023-02-06T14:39:38.000000000,0.04895,0.356775,0.043033,0.353776,0.0,0.375627,0.438056,0.403489,0.438635,0.410414,0.146494,0.349958,0.438635,0.410414,0.0,0.545661,0.0,0.545661,0.0,0.545661,0.0,0.545661,0.0,0.545661,0.0,0.545661,0.0,0.545661,1
62,2023-02-06T14:39:10.000000000,2023-02-06T14:40:08.000000000,0.033662,0.3824,0.028713,0.382086,0.0,0.475371,0.495319,0.474224,0.496224,0.48089,0.103199,0.353601,0.496224,0.48089,0.0,0.599769,0.0,0.599769,0.0,0.599769,0.0,0.599769,0.0,0.599769,0.0,0.599769,0.0,0.599769,1
63,2023-02-06T14:39:40.000000000,2023-02-06T14:40:38.000000000,0.006115,0.354848,0.008724,0.356052,0.666667,0.443752,0.526365,0.490139,0.527947,0.496597,0.010712,0.317293,0.527947,0.496597,0.0,0.576702,0.0,0.576702,0.0,0.576702,0.0,0.576702,0.0,0.576702,0.0,0.576702,0.0,0.576702,1
64,2023-02-06T14:40:10.000000000,2023-02-06T14:41:08.000000000,0.006542,0.354994,0.011652,0.359085,0.0,0.334463,0.524406,0.499988,0.525986,0.506706,0.011764,0.311444,0.525986,0.506706,0.0,0.583278,0.0,0.583278,0.0,0.583278,0.0,0.583278,0.0,0.583278,0.0,0.583278,0.0,0.583278,1
