segment_idx,segment_start,segment_end,m1_speed_psd_peak_baseband,m1_speed_psd_peak_am_demodulated,m1_speed_psd_mean_energy_baseband,m1_speed_psd_mean_energy_am_demodulated,m1_speed_psd_peak_freq_baseband,m1_speed_psd_peak_freq_am_demodulated,m1_speed_rms_baseband,m1_speed_rms_am_demodulated,m1_speed_mean_baseband,m1_speed_mean_am_demodulated,m1_speed_variance_baseband,m1_speed_variance_am_demodulated,m1_speed_fft_peak_baseband,m1_speed_fft_peak_am_demodulated,o8_compressor_psd_peak_baseband,o8_compressor_psd_peak_am_demodulated,o8_compressor_psd_mean_energy_baseband,o8_compressor_psd_mean_energy_am_demodulated,o8_compressor_psd_peak_freq_baseband,o8_compressor_psd_peak_freq_am_demodulated,o8_compressor_rms_baseband,o8_compressor_rms_am_demodulated,o8_compressor_mean_baseband,o8_compressor_mean_am_demodulated,o8_compressor_variance_baseband,o8_compressor_variance_am_demodulated,o8_compressor_fft_peak_baseband,o8_compressor_fft_peak_am_demodulated,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_am_demodulated,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_am_demodulated,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_am_demodulated,current_task_duration_rms_baseband,current_task_duration_rms_am_demodulated,current_task_duration_mean_baseband,current_task_duration_mean_am_demodulated,current_task_duration_variance_baseband,current_task_duration_variance_am_demodulated,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_am_demodulated,current_state_binary
30,2023-02-06T14:23:10.000000000,2023-02-06T14:24:08.000000000,0.0,0.433926,0.0,0.443099,0.0,0.22135,0.813854,0.886893,0.889665,0.901178,0.0,0.339623,0.889665,0.901178,0.0,0.410328,0.0,0.419041,0.0,0.373078,0.0,0.409216,0.079554,0.447115,0.0,0.411541,0.0,0.423899,0.0,0.346887,0.0,0.345758,0.0,0.347524,0.0,0.291281,0.005896,0.370365,0.0,0.324146,0.0,0.367186,1
31,2023-02-06T14:23:40.000000000,2023-02-06T14:24:38.000000000,0.0,0.366441,0.0,0.373389,0.0,0.224687,0.813854,0.796257,0.889665,0.813759,0.0,0.300366,0.889665,0.813759,0.0,0.389164,0.0,0.397326,0.0,0.364761,0.0,0.394452,0.079554,0.423629,0.0,0.392443,0.0,0.407423,0.0,0.314106,0.0,0.316173,0.0,0.328721,0.0,0.271585,0.005896,0.348635,0.0,0.287878,0.0,0.345622,1
32,2023-02-06T14:24:10.000000000,2023-02-06T14:25:08.000000000,0.0,0.276085,0.0,0.275499,0.0,0.168476,0.813854,0.676016,0.889665,0.694096,0.0,0.242511,0.889665,0.694096,0.0,0.320313,0.0,0.327239,0.0,0.334593,0.0,0.356422,0.079554,0.382579,0.0,0.357121,0.0,0.36665,0.0,0.258484,0.0,0.251825,0.0,0.224723,0.0,0.210341,0.005896,0.273668,0.0,0.238833,0.0,0.270994,1
33,2023-02-06T14:24:40.000000000,2023-02-06T14:25:38.000000000,0.0,0.336841,0.0,0.342353,0.0,0.225564,0.813854,0.759747,0.889665,0.778612,0.0,0.282168,0.889665,0.778612,0.0,0.382903,0.0,0.390853,0.0,0.364208,0.0,0.390093,0.079554,0.41604,0.0,0.386659,0.0,0.402287,0.0,0.300681,0.0,0.304282,0.0,0.324456,0.0,0.265303,0.005896,0.341314,0.0,0.27354,0.0,0.338394,1
34,2023-02-06T14:25:10.000000000,2023-02-06T14:26:08.000000000,0.0,0.196997,0.0,0.196543,0.0,0.116406,0.813854,0.589323,0.889665,0.612099,0.0,0.189523,0.889665,0.612099,0.0,0.272102,0.0,0.277634,0.0,0.286385,0.0,0.303931,0.079554,0.327219,0.0,0.3033,0.0,0.312409,0.0,0.204603,0.0,0.198537,0.0,0.184886,0.0,0.141072,0.005896,0.20698,0.0,0.168956,0.0,0.204338,1
35,2023-02-06T14:25:40.000000000,2023-02-06T14:26:38.000000000,0.0,0.20978,0.0,0.21247,0.0,0.108081,0.813854,0.614525,0.889665,0.638671,0.0,0.195264,0.889665,0.638671,0.0,0.281756,0.0,0.287125,0.0,0.270759,0.0,0.292167,0.079554,0.317505,0.0,0.290865,0.0,0.301305,0.0,0.204242,0.0,0.201147,0.0,0.210285,0.0,0.129513,0.005896,0.2049,0.0,0.155195,0.0,0.202135,1
36,2023-02-06T14:26:10.000000000,2023-02-06T14:27:08.000000000,0.0,0.260834,0.0,0.267886,0.0,0.102136,0.813854,0.689471,0.889665,0.713441,0.0,0.22483,0.889665,0.713441,0.0,0.306959,0.0,0.312476,0.0,0.260071,0.0,0.290012,0.079554,0.32197,0.0,0.289804,0.0,0.300794,0.0,0.22266,0.0,0.22154,0.0,0.249795,0.0,0.131048,0.005896,0.217983,0.0,0.161239,0.0,0.214901,1
37,2023-02-06T14:26:40.000000000,2023-02-06T14:27:38.000000000,0.0,0.221229,0.0,0.226567,0.0,0.040015,0.813854,0.643202,0.889665,0.66687,0.0,0.198823,0.889665,0.66687,0.0,0.243856,0.0,0.248429,0.0,0.217954,0.0,0.250801,0.079554,0.28631,0.0,0.254528,0.0,0.260471,0.0,0.189854,0.0,0.179378,0.0,0.156457,0.0,0.074289,0.005896,0.152271,0.0,0.131612,0.0,0.149128,1
38,2023-02-06T14:27:10.000000000,2023-02-06T14:28:08.000000000,0.0,0.337882,0.0,0.348981,0.0,0.111604,0.813854,0.789645,0.889665,0.811926,0.0,0.27178,0.889665,0.811926,0.0,0.351822,0.0,0.357784,0.0,0.258411,0.0,0.299424,0.079554,0.339174,0.0,0.300221,0.0,0.312575,0.0,0.256458,0.0,0.257877,0.0,0.305926,0.0,0.149795,0.005896,0.251148,0.0,0.181749,0.0,0.247752,1
39,2023-02-06T14:27:40.000000000,2023-02-06T14:28:38.000000000,0.0,0.323783,0.0,0.331908,0.0,0.114454,0.813854,0.765021,0.889665,0.784366,0.0,0.266936,0.889665,0.784366,0.0,0.314783,0.0,0.321162,0.0,0.278844,0.0,0.317639,0.079554,0.35573,0.0,0.321101,0.0,0.32969,0.0,0.261554,0.0,0.25449,0.0,0.232942,0.0,0.167436,0.005896,0.24635,0.0,0.21807,0.0,0.243084,1
