timestamp,i3_photoresistor_baseband,i3_photoresistor_am_demodulated,current_state_binary
2023-02-06 14:14:30,0.082056,0.459748,1
2023-02-06 14:14:32,0.08215,0.424475,1
2023-02-06 14:14:34,0.08266,0.377481,1
2023-02-06 14:14:36,0.081914,0.408931,1
2023-02-06 14:14:38,0.078942,0.463527,1
2023-02-06 14:14:40,0.07489,0.426108,1
2023-02-06 14:14:42,0.072245,0.373348,1
2023-02-06 14:14:44,0.072675,0.382146,1
2023-02-06 14:14:46,0.07576,0.403743,1
2023-02-06 14:14:48,0.079432,0.387288,1
2023-02-06 14:14:50,0.081408,0.410097,1
2023-02-06 14:14:52,0.080349,0.454196,1
2023-02-06 14:14:54,0.076496,0.422208,1
2023-02-06 14:14:56,0.071527,0.444976,1
2023-02-06 14:14:58,0.067562,0.473619,1
2023-02-06 14:15:00,0.06564,0.390414,1
2023-02-06 14:15:02,0.064934,0.386302,1
2023-02-06 14:15:04,0.063661,0.416548,1
2023-02-06 14:15:06,0.060903,0.378633,1
2023-02-06 14:15:08,0.057458,0.405918,1
2023-02-06 14:15:10,0.054821,0.415065,1
2023-02-06 14:15:12,0.053551,0.348748,1
2023-02-06 14:15:14,0.052893,0.351966,1
2023-02-06 14:15:16,0.051892,0.389454,1
2023-02-06 14:15:18,0.050502,0.36177,1
2023-02-06 14:15:20,0.049521,0.343954,1
2023-02-06 14:15:22,0.049495,0.369705,1
2023-02-06 14:15:24,0.049974,0.35367,1
2023-02-06 14:15:26,0.049875,0.330197,1
2023-02-06 14:15:28,0.048704,0.358056,1
2023-02-06 14:15:30,0.047182,0.370036,1
2023-02-06 14:15:32,0.046724,0.377818,1
2023-02-06 14:15:34,0.048074,0.405144,1
2023-02-06 14:15:36,0.05026,0.385768,1
2023-02-06 14:15:38,0.051328,0.357431,1
2023-02-06 14:15:40,0.050121,0.372535,1
2023-02-06 14:15:42,0.047467,0.332218,1
2023-02-06 14:15:44,0.045359,0.269123,1
2023-02-06 14:15:46,0.044895,0.31632,1
2023-02-06 14:15:48,0.045253,0.345262,1
2023-02-06 14:15:50,0.044872,0.324997,1
2023-02-06 14:15:52,0.043425,0.347934,1
2023-02-06 14:15:54,0.042273,0.358462,1
2023-02-06 14:15:56,0.042732,0.398327,1
2023-02-06 14:15:58,0.043837,0.428087,1
2023-02-06 14:16:00,0.042561,0.399496,1
2023-02-06 14:16:02,0.036687,0.430052,1
2023-02-06 14:16:04,0.027673,0.398886,1
2023-02-06 14:16:06,0.020385,0.335505,1
2023-02-06 14:16:08,0.019111,0.366365,1
2023-02-06 14:16:10,0.023592,0.333427,1
2023-02-06 14:16:12,0.029017,0.348275,1
2023-02-06 14:16:14,0.030364,0.382531,1
2023-02-06 14:16:16,0.026786,0.27399,1
2023-02-06 14:16:18,0.021751,0.294914,1
2023-02-06 14:16:20,0.019167,0.407967,1
2023-02-06 14:16:22,0.019825,0.436775,1
2023-02-06 14:16:24,0.021652,0.444142,1
2023-02-06 14:16:26,0.02248,0.353581,1
2023-02-06 14:16:28,0.021894,0.303195,1
2023-02-06 14:16:30,0.020683,0.350203,1
2023-02-06 14:16:32,0.019567,0.350916,1
2023-02-06 14:16:34,0.018957,0.403052,1
2023-02-06 14:16:36,0.019143,0.412148,1
2023-02-06 14:16:38,0.019921,0.349923,1
2023-02-06 14:16:40,0.020298,0.335103,1
2023-02-06 14:16:42,0.019521,0.335301,1
2023-02-06 14:16:44,0.018526,0.352965,1
2023-02-06 14:16:46,0.01944,0.341708,1
2023-02-06 14:16:48,0.022962,0.324597,1
2023-02-06 14:16:50,0.026795,0.358675,1
2023-02-06 14:16:52,0.027766,0.350994,1
2023-02-06 14:16:54,0.025626,0.352397,1
2023-02-06 14:16:56,0.023953,0.364482,1
2023-02-06 14:16:58,0.026494,0.324597,1
2023-02-06 14:17:00,0.03318,0.334107,1
2023-02-06 14:17:02,0.040295,0.368633,1
2023-02-06 14:17:04,0.044383,0.365386,1
2023-02-06 14:17:06,0.045248,0.375907,1
2023-02-06 14:17:08,0.045096,0.36896,1
2023-02-06 14:17:10,0.045513,0.351575,1
2023-02-06 14:17:12,0.046286,0.372116,1
