segment_idx,m1_speed_psd_peak_baseband,m1_speed_psd_peak_am_demodulated,m1_speed_psd_mean_energy_baseband,m1_speed_psd_mean_energy_am_demodulated,m1_speed_psd_peak_freq_baseband,m1_speed_psd_peak_freq_am_demodulated,m1_speed_rms_baseband,m1_speed_rms_am_demodulated,m1_speed_mean_baseband,m1_speed_mean_am_demodulated,m1_speed_variance_baseband,m1_speed_variance_am_demodulated,m1_speed_fft_peak_baseband,m1_speed_fft_peak_am_demodulated,m2_speed_psd_peak_baseband,m2_speed_psd_peak_am_demodulated,m2_speed_psd_mean_energy_baseband,m2_speed_psd_mean_energy_am_demodulated,m2_speed_psd_peak_freq_baseband,m2_speed_psd_peak_freq_am_demodulated,m2_speed_rms_baseband,m2_speed_rms_am_demodulated,m2_speed_mean_baseband,m2_speed_mean_am_demodulated,m2_speed_variance_baseband,m2_speed_variance_am_demodulated,m2_speed_fft_peak_baseband,m2_speed_fft_peak_am_demodulated,m3_speed_psd_peak_baseband,m3_speed_psd_peak_am_demodulated,m3_speed_psd_mean_energy_baseband,m3_speed_psd_mean_energy_am_demodulated,m3_speed_psd_peak_freq_baseband,m3_speed_psd_peak_freq_am_demodulated,m3_speed_rms_baseband,m3_speed_rms_am_demodulated,m3_speed_mean_baseband,m3_speed_mean_am_demodulated,m3_speed_variance_baseband,m3_speed_variance_am_demodulated,m3_speed_fft_peak_baseband,m3_speed_fft_peak_am_demodulated,o8_compressor_psd_peak_baseband,o8_compressor_psd_peak_am_demodulated,o8_compressor_psd_mean_energy_baseband,o8_compressor_psd_mean_energy_am_demodulated,o8_compressor_psd_peak_freq_baseband,o8_compressor_psd_peak_freq_am_demodulated,o8_compressor_rms_baseband,o8_compressor_rms_am_demodulated,o8_compressor_mean_baseband,o8_compressor_mean_am_demodulated,o8_compressor_variance_baseband,o8_compressor_variance_am_demodulated,o8_compressor_fft_peak_baseband,o8_compressor_fft_peak_am_demodulated,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_am_demodulated,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_am_demodulated,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_am_demodulated,current_task_duration_rms_baseband,current_task_duration_rms_am_demodulated,current_task_duration_mean_baseband,current_task_duration_mean_am_demodulated,current_task_duration_variance_baseband,current_task_duration_variance_am_demodulated,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_am_demodulated,current_state_binary
10,0.0,0.432628,0.0,0.418047,0.0,0.393426,0.875147,0.764927,0.92606,0.771147,0.0,0.381244,0.92606,0.771147,0.0,0.350682,0.0,0.370318,0.0,0.330119,0.0,0.345277,0.03199,0.355894,0.0,0.344282,0.0,0.34588,0.0,0.438468,0.0,0.439305,0.0,0.376706,0.992017,0.796354,0.994875,0.798088,0.0,0.382857,0.994875,0.798088,0.00045,0.327373,0.000418,0.319245,1.0,0.991296,0.45221,0.634737,0.210143,0.516339,0.454717,0.578084,0.207507,0.514753,0.0,0.418471,0.0,0.419566,0.0,0.277014,0.0,0.381614,0.006772,0.397504,0.0,0.397863,0.0,0.395065,1
11,3e-06,0.453372,3e-06,0.438533,1.0,0.732439,0.874963,0.777951,0.925915,0.784746,3.8e-05,0.396871,0.925915,0.784746,1.5e-05,0.359838,1.5e-05,0.380203,1.0,0.726756,0.028204,0.309364,0.028917,0.297636,0.000871,0.291301,0.034519,0.31449,2e-06,0.456515,3e-06,0.458923,1.0,0.761408,0.992967,0.819336,0.99555,0.820558,9e-05,0.394247,0.99555,0.820558,0.715466,0.651743,0.700753,0.642414,0.666667,0.945351,0.650206,0.666505,0.444339,0.590084,0.759007,0.64744,0.442485,0.589261,0.0,0.436361,0.0,0.437744,0.333333,0.398445,0.002427,0.36266,0.007001,0.374466,7e-06,0.373015,0.001882,0.375792,1
12,0.001151,0.529222,0.000981,0.539144,1.0,0.792134,0.908052,0.661862,0.927441,0.64364,0.200534,0.407807,0.927441,0.64364,0.015262,0.414384,0.010749,0.444874,1.0,0.757215,0.988367,0.482035,1.0,0.474104,0.969252,0.469541,1.0,0.483393,0.002674,0.474297,0.002871,0.511406,1.0,0.745047,0.91122,0.628382,0.911436,0.622642,0.183616,0.39578,0.911436,0.622642,0.856068,0.656466,0.787785,0.622638,0.333333,0.677175,0.870453,0.615049,0.759714,0.583993,0.978662,0.631531,0.758912,0.583562,0.00015,0.478937,0.000128,0.474286,1.0,0.57405,0.765335,0.520629,0.619464,0.516779,0.630565,0.514767,0.616869,0.516773,1
13,0.777667,0.465463,0.999383,0.475102,0.666667,0.513101,0.967539,0.732681,0.962913,0.709335,0.294229,0.430143,0.962913,0.709335,0.922637,0.380103,0.989515,0.406519,0.333333,0.691599,0.999849,0.535356,0.973103,0.486543,0.999832,0.493687,0.973734,0.550921,0.416793,0.42726,0.644962,0.453058,0.333333,0.765393,0.916446,0.682248,0.914369,0.680809,0.190344,0.397386,0.914369,0.680809,0.474514,0.399219,0.393508,0.376169,0.333333,0.831205,0.734526,0.465015,0.526509,0.477839,0.925077,0.441349,0.524929,0.478956,0.841185,0.454527,0.81283,0.452629,0.333333,0.425692,0.895004,0.660677,0.85827,0.584102,0.815463,0.586409,0.857304,0.599421,1
14,0.020691,0.360112,0.020111,0.323653,0.0,0.600866,0.936167,0.745338,0.961718,0.734638,0.094075,0.394464,0.961718,0.734638,0.006963,0.265833,0.004678,0.274486,1.0,0.946912,0.15385,0.318623,0.0,0.245987,0.025832,0.258607,0.203244,0.343257,0.003969,0.392039,0.004376,0.369807,1.0,0.919061,0.998279,0.751078,0.998731,0.748227,0.005213,0.368582,0.998731,0.748227,0.000127,0.268531,0.000109,0.264292,1.0,0.869552,0.011154,0.198286,0.003336,0.268911,0.000321,0.163436,0.005764,0.270535,0.02084,0.324937,0.018931,0.32645,0.0,0.569539,0.464047,0.529675,0.247327,0.432251,0.249566,0.440007,0.284394,0.453385,1
15,1.1e-05,0.431677,1.3e-05,0.417123,1.0,0.902155,0.875585,0.759888,0.926391,0.7653,2.3e-05,0.380475,0.926391,0.7653,3e-06,0.349689,4e-06,0.369337,1.0,0.928653,0.00668,0.347653,0.029969,0.356043,4.8e-05,0.344405,0.006825,0.348145,3e-06,0.437626,6e-06,0.438604,1.0,0.902298,0.992361,0.789963,0.995123,0.791161,9e-06,0.382875,0.995123,0.791161,0.0,0.271496,0.0,0.2622,0.333333,0.542294,0.000604,0.236168,0.003185,0.312816,1e-06,0.208842,0.000189,0.310973,8e-06,0.416967,1e-05,0.41799,1.0,1.0,0.006233,0.39274,0.008292,0.398536,4.7e-05,0.39798,0.005216,0.399717,1
16,0.0,0.372066,0.0,0.369891,0.0,0.540956,0.875147,0.677992,0.92606,0.684486,0.0,0.325312,0.92606,0.684486,0.0,0.320257,0.0,0.340883,0.0,0.474615,0.0,0.324538,0.03199,0.333846,0.0,0.324026,0.0,0.323797,0.0,0.367487,0.0,0.376314,0.0,0.515215,0.992017,0.702085,0.994875,0.705413,0.0,0.324949,0.994875,0.705413,0.0,0.174221,0.0,0.164525,0.0,0.283711,0.0,0.149671,0.003327,0.230854,0.0,0.126756,0.0,0.228911,0.0,0.381566,0.0,0.38261,0.0,0.55694,0.0,0.341481,0.006772,0.355381,0.0,0.3538,0.0,0.354153,1
17,0.0,0.390827,0.0,0.376762,0.0,0.250752,0.875147,0.717405,0.92606,0.719127,0.0,0.344376,0.92606,0.719127,0.0,0.320029,0.0,0.337885,0.0,0.322869,0.0,0.302738,0.03199,0.294042,0.0,0.290062,0.0,0.307607,0.0,0.394487,0.0,0.392774,0.0,0.311601,0.992017,0.740199,0.994875,0.740975,0.0,0.336698,0.994875,0.740975,0.0,0.192559,0.0,0.182893,0.0,0.276777,0.0,0.116923,0.003327,0.207847,0.0,0.096907,0.0,0.206651,0.0,0.377732,0.0,0.377616,0.0,0.169637,0.0,0.38447,0.006772,0.376192,0.0,0.378276,0.0,0.37834,1
18,0.0,0.434661,0.0,0.430887,0.0,0.449413,0.875147,0.78466,0.92606,0.79273,0.0,0.370592,0.92606,0.79273,0.0,0.370809,0.0,0.394347,0.0,0.369288,0.0,0.37471,0.03199,0.386641,0.0,0.37516,0.0,0.374116,0.0,0.431276,0.0,0.43953,0.0,0.423955,0.992017,0.814143,0.994875,0.81862,0.0,0.370486,0.994875,0.81862,0.0,0.231974,0.0,0.224923,0.0,0.290443,0.0,0.206956,0.003327,0.297078,0.0,0.175597,0.0,0.294946,0.0,0.446849,0.0,0.448658,0.0,0.433854,0.0,0.392033,0.006772,0.409605,0.0,0.408453,0.0,0.40814,1
19,0.0,0.350457,0.0,0.338064,0.0,0.261023,0.875147,0.649706,0.92606,0.654022,0.0,0.317989,0.92606,0.654022,0.0,0.28868,0.0,0.30498,0.0,0.242655,0.0,0.277446,0.03199,0.28096,0.0,0.273042,0.0,0.279163,0.0,0.355589,0.0,0.355002,0.0,0.263093,0.992017,0.675207,0.994875,0.676181,0.0,0.316173,0.994875,0.676181,0.0,0.17162,0.0,0.161357,0.0,0.218721,0.0,0.116686,0.003327,0.196653,0.0,0.098769,0.0,0.195021,0.0,0.339794,0.0,0.340157,0.0,0.168005,0.0,0.326406,0.006772,0.331508,0.0,0.332515,0.0,0.330374,1
