segment_idx,m2_speed_psd_peak_baseband,m2_speed_psd_peak_am_demodulated,m2_speed_psd_mean_energy_baseband,m2_speed_psd_mean_energy_am_demodulated,m2_speed_psd_peak_freq_baseband,m2_speed_psd_peak_freq_am_demodulated,m2_speed_rms_baseband,m2_speed_rms_am_demodulated,m2_speed_mean_baseband,m2_speed_mean_am_demodulated,m2_speed_variance_baseband,m2_speed_variance_am_demodulated,m2_speed_fft_peak_baseband,m2_speed_fft_peak_am_demodulated,o8_compressor_psd_peak_baseband,o8_compressor_psd_peak_am_demodulated,o8_compressor_psd_mean_energy_baseband,o8_compressor_psd_mean_energy_am_demodulated,o8_compressor_psd_peak_freq_baseband,o8_compressor_psd_peak_freq_am_demodulated,o8_compressor_rms_baseband,o8_compressor_rms_am_demodulated,o8_compressor_mean_baseband,o8_compressor_mean_am_demodulated,o8_compressor_variance_baseband,o8_compressor_variance_am_demodulated,o8_compressor_fft_peak_baseband,o8_compressor_fft_peak_am_demodulated,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_am_demodulated,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_am_demodulated,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_am_demodulated,current_task_duration_rms_baseband,current_task_duration_rms_am_demodulated,current_task_duration_mean_baseband,current_task_duration_mean_am_demodulated,current_task_duration_variance_baseband,current_task_duration_variance_am_demodulated,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_am_demodulated,current_state_binary
30,0.0,0.408508,0.0,0.40537,0.0,0.439614,0.664887,0.737037,0.776751,0.863103,0.0,0.420095,0.776751,0.863103,0.0,0.514324,0.0,0.484233,0.0,0.368328,0.0,0.433326,0.044168,0.424676,0.0,0.434368,0.0,0.412042,0.0,0.819343,0.0,0.819343,0.0,0.819343,0.0,0.819343,0.0,0.819343,0.0,0.819343,0.0,0.819343,1
31,0.0,0.376809,0.0,0.377686,0.0,0.424302,0.664887,0.678191,0.776751,0.784503,0.0,0.406567,0.776751,0.784503,0.0,0.467979,0.0,0.440278,0.0,0.362656,0.0,0.40997,0.044168,0.396105,0.0,0.402704,0.0,0.387126,0.0,0.730635,0.0,0.730635,0.0,0.730635,0.0,0.730635,0.0,0.730635,0.0,0.730635,0.0,0.730635,1
32,0.0,0.319272,0.0,0.318302,0.0,0.382211,0.664887,0.557638,0.776751,0.646825,0.0,0.345445,0.776751,0.646825,0.0,0.395908,0.0,0.375775,0.0,0.3266,0.0,0.362446,0.044168,0.352354,0.0,0.353326,0.0,0.343035,0.0,0.601382,0.0,0.601382,0.0,0.601382,0.0,0.601382,0.0,0.601382,0.0,0.601382,0.0,0.601382,1
33,0.0,0.362792,0.0,0.365853,0.0,0.418093,0.664887,0.656596,0.776751,0.753594,0.0,0.401965,0.776751,0.753594,0.0,0.448052,0.0,0.421442,0.0,0.362944,0.0,0.3995,0.044168,0.384008,0.0,0.387865,0.0,0.37626,0.0,0.689925,0.0,0.689925,0.0,0.689925,0.0,0.689925,0.0,0.689925,0.0,0.689925,0.0,0.689925,1
34,0.0,0.268026,0.0,0.266786,0.0,0.341188,0.664887,0.488631,0.776751,0.570374,0.0,0.295028,0.776751,0.570374,0.0,0.333241,0.0,0.315939,0.0,0.279461,0.0,0.309361,0.044168,0.302188,0.0,0.300053,0.0,0.293465,0.0,0.50924,0.0,0.50924,0.0,0.50924,0.0,0.50924,0.0,0.50924,0.0,0.50924,0.0,0.50924,1
35,0.0,0.270461,0.0,0.268818,0.0,0.338015,0.664887,0.512621,0.776751,0.602942,0.0,0.296097,0.776751,0.602942,0.0,0.342882,0.0,0.323502,0.0,0.266781,0.0,0.305333,0.044168,0.299705,0.0,0.300057,0.0,0.290454,0.0,0.535184,0.0,0.535184,0.0,0.535184,0.0,0.535184,0.0,0.535184,0.0,0.535184,0.0,0.535184,1
36,0.0,0.292228,0.0,0.28857,0.0,0.34487,0.664887,0.573763,0.776751,0.681633,0.0,0.308675,0.776751,0.681633,0.0,0.381113,0.0,0.357995,0.0,0.257773,0.0,0.317338,0.044168,0.314833,0.0,0.320513,0.0,0.303479,0.0,0.611267,0.0,0.611267,0.0,0.611267,0.0,0.611267,0.0,0.611267,0.0,0.611267,0.0,0.611267,1
37,0.0,0.260066,0.0,0.250017,0.0,0.312894,0.664887,0.505028,0.776751,0.616703,0.0,0.25229,0.776751,0.616703,0.0,0.340639,0.0,0.322029,0.0,0.210375,0.0,0.284025,0.044168,0.28825,0.0,0.294155,0.0,0.274352,0.0,0.56225,0.0,0.56225,0.0,0.56225,0.0,0.56225,0.0,0.56225,0.0,0.56225,0.0,0.56225,1
38,0.0,0.32991,0.0,0.324845,0.0,0.361435,0.664887,0.655226,0.776751,0.781955,0.0,0.339947,0.776751,0.781955,0.0,0.441632,0.0,0.41368,0.0,0.258511,0.0,0.344477,0.044168,0.3441,0.0,0.357649,0.0,0.330547,0.0,0.717541,0.0,0.717541,0.0,0.717541,0.0,0.717541,0.0,0.717541,0.0,0.717541,0.0,0.717541,1
39,0.0,0.328952,0.0,0.320567,0.0,0.36847,0.664887,0.614593,0.776751,0.737731,0.0,0.324546,0.776751,0.737731,0.0,0.422146,0.0,0.398129,0.0,0.272693,0.0,0.351078,0.044168,0.350558,0.0,0.360044,0.0,0.33647,0.0,0.690291,0.0,0.690291,0.0,0.690291,0.0,0.690291,0.0,0.690291,0.0,0.690291,0.0,0.690291,1
