timestamp,i3_pos_switch_baseband,i3_pos_switch_fm_demodulated,m2_speed_baseband,m2_speed_fm_demodulated,o8_compressor_baseband,o8_compressor_fm_demodulated,o5_valve_baseband,o5_valve_fm_demodulated,o6_valve_baseband,o6_valve_fm_demodulated,current_state_binary
2023-02-06 14:12:52,0.0,0.110347,0.514996,0.494962,0.158068,0.144211,0.0,0.129884,0.0,0.151912,1.0
2023-02-06 14:12:54,0.0,0.05972,0.514996,0.540464,0.158068,0.194454,0.0,0.07436,0.0,0.08773,1.0
2023-02-06 14:12:56,0.0,0.114683,0.514996,0.523505,0.158068,0.137407,0.0,0.132688,0.0,0.17614,1.0
2023-02-06 14:12:58,0.0,0.130955,0.514996,0.482147,0.158068,0.114414,0.0,0.154703,0.0,0.17418,1.0
2023-02-06 14:13:00,0.0,0.087738,0.514996,0.476175,0.158068,0.151618,0.0,0.109739,0.0,0.155365,1.0
2023-02-06 14:13:02,0.0,0.132702,0.514996,0.488103,0.158068,0.139172,0.0,0.163908,0.0,0.193098,1.0
2023-02-06 14:13:04,0.0,0.135004,0.514996,0.493124,0.158068,0.104527,0.0,0.167198,0.0,0.20962,1.0
2023-02-06 14:13:06,0.0,0.103489,0.514996,0.490033,0.158068,0.099412,0.0,0.131651,0.0,0.179554,1.0
2023-02-06 14:13:08,0.0,0.122409,0.514996,0.47318,0.158068,0.136761,0.0,0.148825,0.0,0.162534,1.0
2023-02-06 14:13:10,0.0,0.122988,0.514996,0.458106,0.158068,0.137709,0.0,0.144887,0.0,0.203642,1.0
2023-02-06 14:13:12,0.0,0.121523,0.514996,0.470289,0.158068,0.099765,0.0,0.139059,0.0,0.159122,1.0
2023-02-06 14:13:14,0.0,0.097977,0.514996,0.489722,0.158068,0.140001,0.0,0.112802,0.0,0.136032,1.0
2023-02-06 14:13:16,0.0,0.116576,0.514996,0.48775,0.158068,0.156041,0.0,0.135178,0.0,0.184486,1.0
2023-02-06 14:13:18,0.0,0.108324,0.514996,0.488161,0.158068,0.09086,0.0,0.125208,0.0,0.124084,1.0
2023-02-06 14:13:20,0.0,0.070662,0.514996,0.521428,0.156802,0.122611,0.0,0.097363,0.0,0.150886,1.0
2023-02-06 14:13:22,0.0,0.1642,0.514996,0.538476,0.15588,0.172768,0.0,0.196921,0.0,0.231059,1.0
2023-02-06 14:13:24,0.0,0.098854,0.514996,0.501884,0.158292,0.105565,0.0,0.130189,0.0,0.162623,1.0
2023-02-06 14:13:26,0.0,0.07366,0.514996,0.459663,0.161582,0.087853,0.0,0.10626,0.0,0.157049,1.0
2023-02-06 14:13:28,0.0,0.178153,0.514996,0.496561,0.160436,0.168854,0.0,0.20009,0.0,0.216437,1.0
2023-02-06 14:13:30,0.0,0.033908,0.514996,0.534956,0.154155,0.114803,0.0,0.064464,0.0,0.117846,1.0
2023-02-06 14:13:32,0.0,0.126724,0.514996,0.488291,0.151077,0.053533,0.0,0.130741,0.0,0.130363,1.0
2023-02-06 14:13:34,0.0,0.168874,0.514996,0.411538,0.158866,0.183331,0.0,0.184163,0.0,0.226211,1.0
2023-02-06 14:13:36,0.0,0.043821,0.51547,0.456772,0.169758,0.178053,0.0,0.074977,0.0,0.113193,1.0
2023-02-06 14:13:38,0.0,0.17294,0.515815,0.544957,0.165882,0.053639,0.0,0.149936,0.0,0.12691,1.0
2023-02-06 14:13:40,0.0,0.050908,0.515386,0.525716,0.146293,0.140299,0.0,0.150374,0.0,0.253976,1.0
2023-02-06 14:13:42,0.0,0.199624,0.5145,0.445345,0.137466,0.186724,0.0,0.143987,0.0,0.125679,1.0
2023-02-06 14:13:44,0.0,0.60271,0.5145,0.455488,0.159885,0.096043,0.0,0.212412,0.0,0.289641,1.0
2023-02-06 14:13:46,1.0,0.894997,0.515964,0.517269,0.189391,0.143022,0.0,0.324655,0.0,0.598704,1.0
2023-02-06 14:13:48,1.0,0.628898,0.516642,0.510511,0.178748,0.157873,0.0,0.59328,0.0,0.537563,1.0
