segment_idx,segment_start,segment_end,m1_speed_psd_peak_baseband,m1_speed_psd_peak_original_bits,m1_speed_psd_peak_ask_recovered,m1_speed_psd_mean_energy_baseband,m1_speed_psd_mean_energy_original_bits,m1_speed_psd_mean_energy_ask_recovered,m1_speed_psd_peak_freq_baseband,m1_speed_psd_peak_freq_original_bits,m1_speed_psd_peak_freq_ask_recovered,m1_speed_rms_baseband,m1_speed_rms_original_bits,m1_speed_rms_ask_recovered,m1_speed_mean_baseband,m1_speed_mean_original_bits,m1_speed_mean_ask_recovered,m1_speed_variance_baseband,m1_speed_variance_original_bits,m1_speed_variance_ask_recovered,m1_speed_fft_peak_baseband,m1_speed_fft_peak_original_bits,m1_speed_fft_peak_ask_recovered,o8_compressor_psd_peak_baseband,o8_compressor_psd_peak_original_bits,o8_compressor_psd_peak_ask_recovered,o8_compressor_psd_mean_energy_baseband,o8_compressor_psd_mean_energy_original_bits,o8_compressor_psd_mean_energy_ask_recovered,o8_compressor_psd_peak_freq_baseband,o8_compressor_psd_peak_freq_original_bits,o8_compressor_psd_peak_freq_ask_recovered,o8_compressor_rms_baseband,o8_compressor_rms_original_bits,o8_compressor_rms_ask_recovered,o8_compressor_mean_baseband,o8_compressor_mean_original_bits,o8_compressor_mean_ask_recovered,o8_compressor_variance_baseband,o8_compressor_variance_original_bits,o8_compressor_variance_ask_recovered,o8_compressor_fft_peak_baseband,o8_compressor_fft_peak_original_bits,o8_compressor_fft_peak_ask_recovered,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_original_bits,current_task_duration_psd_peak_ask_recovered,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_original_bits,current_task_duration_psd_mean_energy_ask_recovered,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_original_bits,current_task_duration_psd_peak_freq_ask_recovered,current_task_duration_rms_baseband,current_task_duration_rms_original_bits,current_task_duration_rms_ask_recovered,current_task_duration_mean_baseband,current_task_duration_mean_original_bits,current_task_duration_mean_ask_recovered,current_task_duration_variance_baseband,current_task_duration_variance_original_bits,current_task_duration_variance_ask_recovered,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_original_bits,current_task_duration_fft_peak_ask_recovered,current_state_binary
34,2023-02-06T14:25:10.000000000,2023-02-06T14:26:08.000000000,0.0,0,0,0.0,0,0,0.0,0,0,0.994659,1,1,0.996434,1,1,0.0,0,0,0.996434,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.001744,0,0,0.0,0,0,0.0,0,0,1
35,2023-02-06T14:25:40.000000000,2023-02-06T14:26:38.000000000,0.0,0,0,0.0,0,0,0.0,0,0,0.994659,1,1,0.996434,1,1,0.0,0,0,0.996434,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.001744,0,0,0.0,0,0,0.0,0,0,1
36,2023-02-06T14:26:10.000000000,2023-02-06T14:27:08.000000000,0.0,0,0,0.0,0,0,0.0,0,0,0.994659,1,1,0.996434,1,1,0.0,0,0,0.996434,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.001744,0,0,0.0,0,0,0.0,0,0,1
37,2023-02-06T14:26:40.000000000,2023-02-06T14:27:38.000000000,0.0,0,0,0.0,0,0,0.0,0,0,0.994659,1,1,0.996434,1,1,0.0,0,0,0.996434,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.001744,0,0,0.0,0,0,0.0,0,0,1
38,2023-02-06T14:27:10.000000000,2023-02-06T14:28:08.000000000,0.0,0,0,0.0,0,0,0.0,0,0,0.994659,1,1,0.996434,1,1,0.0,0,0,0.996434,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.001744,0,0,0.0,0,0,0.0,0,0,1
39,2023-02-06T14:27:40.000000000,2023-02-06T14:28:38.000000000,0.0,0,0,0.0,0,0,0.0,0,0,0.994659,1,1,0.996434,1,1,0.0,0,0,0.996434,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.001744,0,0,0.0,0,0,0.0,0,0,1
40,2023-02-06T14:28:10.000000000,2023-02-06T14:29:08.000000000,0.0,0,0,0.0,0,0,0.0,0,0,0.994659,1,1,0.996434,1,1,0.0,0,0,0.996434,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.001744,0,0,0.0,0,0,0.0,0,0,1
41,2023-02-06T14:28:40.000000000,2023-02-06T14:29:38.000000000,0.0,0,0,0.0,0,0,0.0,0,0,0.994659,1,1,0.996434,1,1,0.0,0,0,0.996434,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.001744,0,0,0.0,0,0,0.0,0,0,1
42,2023-02-06T14:29:10.000000000,2023-02-06T14:30:08.000000000,0.0,0,0,0.0,0,0,0.0,0,0,0.994659,1,1,0.996434,1,1,0.0,0,0,0.996434,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.001744,0,0,0.0,0,0,0.0,0,0,1
43,2023-02-06T14:29:40.000000000,2023-02-06T14:30:38.000000000,0.0,0,0,0.0,0,0,0.0,0,0,0.994659,1,1,0.996434,1,1,0.0,0,0,0.996434,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.001744,0,0,0.0,0,0,0.0,0,0,1
44,2023-02-06T14:30:10.000000000,2023-02-06T14:31:08.000000000,0.0,0,0,0.0,0,0,0.0,0,0,0.994659,1,1,0.996434,1,1,0.0,0,0,0.996434,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.001744,0,0,0.0,0,0,0.0,0,0,1
45,2023-02-06T14:30:40.000000000,2023-02-06T14:31:38.000000000,0.0,0,0,0.0,0,0,0.0,0,0,0.994867,1,1,0.996583,1,1,1e-06,0,0,0.996583,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,6.5e-05,0,0,0.001718,0,0,0.0,0,0,2.6e-05,0,0,1
46,2023-02-06T14:31:10.000000000,2023-02-06T14:32:08.000000000,1.2e-05,0,0,1.4e-05,0,0,1.0,1,1,0.996396,1,1,0.997658,1,1,0.000227,0,0,0.997658,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.333333,0,0,0.001064,0,0,0.00164,0,0,2e-06,0,0,0.000493,0,0,1
47,2023-02-06T14:31:40.000000000,2023-02-06T14:32:38.000000000,0.094621,0,0,0.111885,0,0,0.333333,0,1,0.716907,1,1,0.633563,1,1,0.960585,1,0,0.633563,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.000566,0,0,0.000634,0,0,0.333333,0,0,0.366931,0,0,0.255923,0,0,0.181674,0,0,0.254623,0,0,1
48,2023-02-06T14:32:10.000000000,2023-02-06T14:33:08.000000000,0.876004,1,0,0.867944,1,0,0.333333,0,0,0.638036,1,1,0.556626,1,1,1.0,1,0,0.556626,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.552679,1,0,0.544331,1,0,0.333333,0,0,0.480852,0,0,0.393386,0,0,0.283303,0,0,0.392326,0,0,1
49,2023-02-06T14:32:40.000000000,2023-02-06T14:33:38.000000000,0.033061,0,0,0.038812,0,0,0.0,0,1,0.931471,1,1,0.920757,1,1,0.220889,0,0,0.920757,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.037721,0,0,0.040117,0,0,0.0,0,1,0.310789,0,0,0.139075,0,0,0.14892,0,0,0.137571,0,0,1
50,2023-02-06T14:33:10.000000000,2023-02-06T14:34:08.000000000,5e-06,0,0,6e-06,0,0,1.0,1,1,0.99492,1,1,0.99662,1,1,1.7e-05,0,0,0.99662,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,6e-06,0,0,7e-06,0,0,1.0,1,1,0.002943,0,0,0.001691,0,0,1.4e-05,0,0,0.001657,0,0,1
51,2023-02-06T14:33:40.000000000,2023-02-06T14:34:38.000000000,0.0,0,0,0.0,0,0,0.0,0,1,0.994659,1,1,0.996434,1,1,0.0,0,0,0.996434,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.001744,0,0,0.0,0,0,0.0,0,0,1
52,2023-02-06T14:34:10.000000000,2023-02-06T14:35:08.000000000,0.0,0,0,0.0,0,0,0.0,0,0,0.994659,1,1,0.996434,1,1,0.0,0,0,0.996434,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.001744,0,0,0.0,0,0,0.0,0,0,1
53,2023-02-06T14:34:40.000000000,2023-02-06T14:35:38.000000000,0.0,0,0,0.0,0,0,0.0,0,1,0.994819,1,1,0.996549,1,1,1e-06,0,0,0.996549,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,7.9e-05,0,0,0.001716,0,0,0.0,0,0,2.9e-05,0,0,1
54,2023-02-06T14:35:10.000000000,2023-02-06T14:36:08.000000000,9e-06,0,0,1.1e-05,0,0,1.0,1,1,0.996228,1,1,0.997522,1,1,0.000336,0,1,0.997522,1,1,0.0,0,0,1e-06,0,0,0.333333,0,1,0.014115,0,1,0.005079,0,0,0.000215,0,0,0.015818,0,1,0.0,0,0,0.0,0,0,0.333333,0,0,0.002028,0,0,0.001861,0,0,7e-06,0,0,0.001121,0,0,1
55,2023-02-06T14:35:40.000000000,2023-02-06T14:36:38.000000000,0.032959,0,1,0.048888,0,1,0.333333,0,0,0.751748,1,1,0.685737,1,1,0.834598,1,1,0.685737,1,1,0.002591,0,1,0.001869,0,1,1.0,1,1,0.54039,1,1,0.302783,0,1,0.31058,0,1,0.559987,1,1,0.00092,0,1,0.001354,0,1,0.0,0,0,0.418505,0,0,0.298851,0,0,0.233473,0,0,0.297626,0,0,1
