segment_idx,segment_start,segment_end,i3_photoresistor_psd_peak_baseband,i3_photoresistor_psd_peak_original_bits,i3_photoresistor_psd_peak_psk_recovered,i3_photoresistor_psd_mean_energy_baseband,i3_photoresistor_psd_mean_energy_original_bits,i3_photoresistor_psd_mean_energy_psk_recovered,i3_photoresistor_psd_peak_freq_baseband,i3_photoresistor_psd_peak_freq_original_bits,i3_photoresistor_psd_peak_freq_psk_recovered,i3_photoresistor_rms_baseband,i3_photoresistor_rms_original_bits,i3_photoresistor_rms_psk_recovered,i3_photoresistor_mean_baseband,i3_photoresistor_mean_original_bits,i3_photoresistor_mean_psk_recovered,i3_photoresistor_variance_baseband,i3_photoresistor_variance_original_bits,i3_photoresistor_variance_psk_recovered,i3_photoresistor_fft_peak_baseband,i3_photoresistor_fft_peak_original_bits,i3_photoresistor_fft_peak_psk_recovered,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_original_bits,current_task_duration_psd_peak_psk_recovered,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_original_bits,current_task_duration_psd_mean_energy_psk_recovered,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_original_bits,current_task_duration_psd_peak_freq_psk_recovered,current_task_duration_rms_baseband,current_task_duration_rms_original_bits,current_task_duration_rms_psk_recovered,current_task_duration_mean_baseband,current_task_duration_mean_original_bits,current_task_duration_mean_psk_recovered,current_task_duration_variance_baseband,current_task_duration_variance_original_bits,current_task_duration_variance_psk_recovered,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_original_bits,current_task_duration_fft_peak_psk_recovered,current_state_binary
45,2023-02-06T14:30:40.000000000,2023-02-06T14:31:38.000000000,0.024019,0,0,0.020589,0,0,0.0,0,0,0.148987,0,0,0.149794,0,0,0.080758,0,0,0.149794,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
46,2023-02-06T14:31:10.000000000,2023-02-06T14:32:08.000000000,0.027695,0,0,0.024008,0,0,0.0,0,0,0.109432,0,0,0.110334,0,0,0.061846,0,0,0.110334,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
47,2023-02-06T14:31:40.000000000,2023-02-06T14:32:38.000000000,0.010643,0,0,0.008281,0,0,0.0,0,0,0.078321,0,0,0.080175,0,0,0.028339,0,0,0.080175,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
48,2023-02-06T14:32:10.000000000,2023-02-06T14:33:08.000000000,0.001053,0,0,0.001282,0,0,0.0,0,0,0.072616,0,0,0.074899,0,0,0.018575,0,0,0.074899,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
49,2023-02-06T14:32:40.000000000,2023-02-06T14:33:38.000000000,0.025576,0,0,0.021524,0,0,0.0,0,0,0.101183,0,0,0.101583,0,0,0.071279,0,0,0.101583,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
50,2023-02-06T14:33:10.000000000,2023-02-06T14:34:08.000000000,0.030923,0,0,0.025042,0,0,0.0,0,0,0.143619,0,0,0.144223,0,0,0.08598,0,0,0.144223,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
51,2023-02-06T14:33:40.000000000,2023-02-06T14:34:38.000000000,0.011778,0,0,0.009783,0,0,0.0,0,0,0.173775,0,0,0.176215,0,0,0.019331,0,0,0.176215,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
52,2023-02-06T14:34:10.000000000,2023-02-06T14:35:08.000000000,0.000624,0,0,0.00047,0,0,0.0,0,0,0.185772,0,0,0.18858,0,0,0.001716,0,0,0.18858,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
53,2023-02-06T14:34:40.000000000,2023-02-06T14:35:38.000000000,0.026594,0,0,0.02571,0,0,0.0,0,0,0.205782,0,0,0.207829,0,0,0.036999,0,0,0.207829,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
54,2023-02-06T14:35:10.000000000,2023-02-06T14:36:08.000000000,0.008797,0,0,0.008334,0,0,0.0,0,0,0.2387,0,0,0.240488,0,0,0.051123,0,0,0.240488,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
