timestamp,i3_pos_switch_baseband,i3_pos_switch_original_bits,i3_pos_switch_fsk_recovered,m2_speed_baseband,m2_speed_original_bits,m2_speed_fsk_recovered,o8_compressor_baseband,o8_compressor_original_bits,o8_compressor_fsk_recovered,o5_valve_baseband,o5_valve_original_bits,o5_valve_fsk_recovered,o6_valve_baseband,o6_valve_original_bits,o6_valve_fsk_recovered,current_state_binary
2023-02-06 14:12:16,0.0,0,0,0.514996,1,0,0.158068,0,0,0.0,0,0,0.0,0,0,1.0
2023-02-06 14:12:18,0.0,0,0,0.514996,1,0,0.158068,0,0,0.0,0,0,0.0,0,0,1.0
2023-02-06 14:12:20,0.0,0,0,0.514996,1,0,0.158068,0,0,0.0,0,0,0.0,0,0,1.0
2023-02-06 14:12:22,0.0,0,0,0.514996,1,0,0.158068,0,0,0.0,0,0,0.0,0,0,1.0
2023-02-06 14:12:24,0.0,0,0,0.514996,1,0,0.158068,0,0,0.0,0,0,0.0,0,0,1.0
2023-02-06 14:12:26,0.0,0,1,0.514996,1,1,0.158068,0,1,0.0,0,1,0.0,0,1,1.0
2023-02-06 14:12:28,0.0,0,1,0.514996,1,1,0.158068,0,1,0.0,0,1,0.0,0,1,1.0
2023-02-06 14:12:30,0.0,0,0,0.514996,1,0,0.158068,0,0,0.0,0,0,0.0,0,0,1.0
2023-02-06 14:12:32,0.0,0,0,0.514996,1,0,0.158068,0,0,0.0,0,0,0.0,0,0,1.0
2023-02-06 14:12:34,0.0,0,1,0.514996,1,1,0.158068,0,1,0.0,0,1,0.0,0,1,1.0
2023-02-06 14:12:36,0.0,0,0,0.514996,1,0,0.158068,0,0,0.0,0,0,0.0,0,0,1.0
2023-02-06 14:12:38,0.0,0,0,0.514996,1,0,0.158068,0,0,0.0,0,0,0.0,0,0,1.0
2023-02-06 14:12:40,0.0,0,1,0.514996,1,1,0.158068,0,1,0.0,0,1,0.0,0,1,1.0
2023-02-06 14:12:42,0.0,0,1,0.514996,1,1,0.158068,0,1,0.0,0,1,0.0,0,1,1.0
2023-02-06 14:12:44,0.0,0,1,0.514996,1,1,0.158068,0,1,0.0,0,1,0.0,0,1,1.0
2023-02-06 14:12:46,0.0,0,1,0.514996,1,1,0.158068,0,1,0.0,0,1,0.0,0,1,1.0
2023-02-06 14:12:48,0.0,0,1,0.514996,1,1,0.158068,0,1,0.0,0,1,0.0,0,1,1.0
2023-02-06 14:12:50,0.0,0,0,0.514996,1,0,0.158068,0,0,0.0,0,0,0.0,0,0,1.0
2023-02-06 14:12:52,0.0,0,0,0.514996,1,0,0.158068,0,0,0.0,0,0,0.0,0,0,1.0
2023-02-06 14:12:54,0.0,0,0,0.514996,1,0,0.158068,0,0,0.0,0,0,0.0,0,0,1.0
2023-02-06 14:12:56,0.0,0,1,0.514996,1,1,0.158068,0,1,0.0,0,1,0.0,0,1,1.0
2023-02-06 14:12:58,0.0,0,0,0.514996,1,0,0.158068,0,0,0.0,0,0,0.0,0,0,1.0
2023-02-06 14:13:00,0.0,0,1,0.514996,1,1,0.158068,0,1,0.0,0,1,0.0,0,1,1.0
2023-02-06 14:13:02,0.0,0,1,0.514996,1,1,0.158068,0,1,0.0,0,1,0.0,0,1,1.0
2023-02-06 14:13:04,0.0,0,1,0.514996,1,1,0.158068,0,1,0.0,0,1,0.0,0,1,1.0
2023-02-06 14:13:06,0.0,0,0,0.514996,1,0,0.158068,0,0,0.0,0,0,0.0,0,0,1.0
