timestamp,i4_light_barrier_baseband,i4_light_barrier_fm_demodulated,m1_speed_baseband,m1_speed_fm_demodulated,m2_speed_baseband,m2_speed_fm_demodulated,m3_speed_baseband,m3_speed_fm_demodulated,current_task_baseband,current_task_fm_demodulated,current_task_duration_baseband,current_task_duration_fm_demodulated,current_sub_task_baseband,current_sub_task_fm_demodulated,i1_light_barrier_baseband,i1_light_barrier_fm_demodulated,i2_light_barrier_baseband,i2_light_barrier_fm_demodulated,i3_light_barrier_baseband,i3_light_barrier_fm_demodulated,i5_pos_switch_baseband,i5_pos_switch_fm_demodulated,i6_pos_switch_baseband,i6_pos_switch_fm_demodulated,i7_pos_switch_baseband,i7_pos_switch_fm_demodulated,i8_pos_switch_baseband,i8_pos_switch_fm_demodulated,m4_speed_baseband,m4_speed_fm_demodulated,current_pos_x_baseband,current_pos_x_fm_demodulated,current_pos_y_baseband,current_pos_y_fm_demodulated,target_pos_x_baseband,target_pos_x_fm_demodulated,target_pos_y_baseband,target_pos_y_fm_demodulated,amount_of_workpieces_baseband,amount_of_workpieces_fm_demodulated,current_state_binary
2023-02-06 14:40:20,0.0,0.192904,0.731408,0.763093,0.480592,0.671526,0.476135,0.322144,0.307692,0.374647,0.151295,0.242828,0.28,0.386122,0.0,0.21988,0.0,0.112504,0.0,0.112504,0.0,0.172014,1.0,0.737348,0.0,0.244891,1.0,0.814303,0.483849,0.495232,0.690582,0.814164,0.192616,0.200751,0.654933,0.55761,0.211003,0.16722,0.571429,0.550621,0.0
2023-02-06 14:40:22,0.0,0.233786,0.732115,0.722235,0.496072,0.643059,0.492345,0.368427,0.307692,0.386562,0.151367,0.183758,0.28,0.493997,0.0,0.243505,0.0,0.153837,0.0,0.153837,0.0,0.13402,1.0,0.546443,0.0,0.284887,1.0,0.75123,0.471762,0.491501,0.692119,0.789849,0.192418,0.22212,0.624707,0.594958,0.209606,0.203826,0.571429,0.556879,0.0
2023-02-06 14:40:24,0.0,0.206944,0.732115,0.688627,0.507186,0.632654,0.515974,0.382475,0.307692,0.35156,0.151479,0.191232,0.52,0.591,0.0,0.260965,0.0,0.130317,0.0,0.130317,0.0,0.186837,1.0,0.23464,0.0,0.088802,0.0,0.659237,0.462648,0.459465,0.688973,0.782101,0.192654,0.263999,0.624707,0.691704,0.213532,0.194141,0.571429,0.590669,0.0
2023-02-06 14:40:26,0.0,0.183744,0.732115,0.708987,0.486854,0.641678,0.517318,0.355095,0.307692,0.360114,0.151493,0.239889,0.52,0.552621,0.0,0.2275,0.0,0.104698,0.0,0.104698,0.0,0.117127,0.0,0.1555,0.0,0.481886,0.0,0.716339,0.469312,0.471339,0.684431,0.79641,0.194723,0.221123,0.668041,0.717981,0.21704,0.162516,0.571429,0.593936,0.0
2023-02-06 14:40:28,0.0,0.194785,0.732115,0.739951,0.453116,0.650442,0.501571,0.34436,0.307692,0.381668,0.151423,0.206385,0.52,0.487476,0.0,0.232025,0.0,0.138993,0.0,0.138993,0.0,0.12801,0.0,0.198329,0.0,0.605957,0.0,0.869701,0.488199,0.522322,0.687361,0.8066,0.196374,0.202876,0.703458,0.596674,0.214313,0.184647,0.571429,0.562932,0.0
2023-02-06 14:40:30,0.0,0.176232,0.732115,0.735195,0.473132,0.706581,0.49236,0.359359,0.307692,0.353513,0.151368,0.206004,0.52,0.553694,0.0,0.235021,0.0,0.117511,0.0,0.117511,0.0,0.127793,0.0,0.114415,1.0,0.404376,1.0,0.952819,0.495567,0.507955,0.697482,0.799542,0.19383,0.238319,0.650598,0.435401,0.208003,0.187286,0.571429,0.552615,0.0
2023-02-06 14:40:32,0.0,0.168491,0.732115,0.716161,0.597872,0.818242,0.497334,0.364325,0.307692,0.340704,0.151385,0.243143,0.52,0.595692,0.0,0.216599,0.0,0.119487,0.0,0.119487,0.0,0.133792,0.0,0.230352,0.0,0.214984,1.0,0.930166,0.474138,0.443014,0.692645,0.767462,0.188941,0.224674,0.480147,0.307632,0.208296,0.166412,0.571429,0.572178,0.0
2023-02-06 14:40:34,0.0,0.187962,0.732115,0.721943,0.790602,0.914653,0.505906,0.36731,0.307692,0.363895,0.151464,0.23295,0.52,0.536529,0.0,0.218254,0.0,0.146699,0.0,0.146699,0.0,0.082972,0.0,0.517592,0.0,0.279957,1.0,0.924237,0.443526,0.439015,0.637649,0.699017,0.189371,0.209098,0.255688,0.204706,0.218007,0.174716,0.571429,0.574523,0.0
2023-02-06 14:40:36,0.0,0.210054,0.732115,0.729932,0.936089,0.923289,0.508257,0.36879,0.307692,0.381158,0.151575,0.212089,0.56,0.531246,0.0,0.253496,0.0,0.152066,0.0,0.152066,0.0,0.266181,1.0,0.798867,0.0,0.207892,1.0,0.924213,0.449991,0.516524,0.513418,0.601947,0.198486,0.208321,0.086502,0.139896,0.225487,0.17661,0.571429,0.570067,0.0
2023-02-06 14:40:38,0.0,0.184506,0.732115,0.702466,0.934994,0.833058,0.50554,0.340224,0.307692,0.406378,0.151683,0.16767,0.56,0.608371,0.0,0.27002,0.0,0.134148,0.0,0.134148,0.0,0.635463,1.0,0.706055,0.0,0.158257,1.0,0.828343,0.517164,0.609854,0.340413,0.521734,0.205936,0.206829,0.034824,0.094612,0.212943,0.180951,0.571429,0.590486,0.0
