segment_start,segment_end,segment_idx,current_state_binary,i3_photoresistor_psd_peak,i3_photoresistor_psd_mean_energy,i3_photoresistor_psd_peak_freq,i3_photoresistor_rms,i3_photoresistor_mean,i3_photoresistor_variance,i3_photoresistor_fft_peak,current_task_duration_psd_peak,current_task_duration_psd_mean_energy,current_task_duration_psd_peak_freq,current_task_duration_rms,current_task_duration_mean,current_task_duration_variance,current_task_duration_fft_peak
2023-02-06T14:30:40.000000000,2023-02-06T14:31:38.000000000,45,1,0.0017448318217069404,0.00026074024055615657,0.03125,0.15755359177559525,0.15541595158769547,0.000669016273482001,4.662478547630865,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:31:10.000000000,2023-02-06T14:32:08.000000000,46,1,0.0020106048809281807,0.0003037157801240727,0.03125,0.11872756675444761,0.11654818136662827,0.0005127565275633421,3.4964454409988472,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:31:40.000000000,2023-02-06T14:32:38.000000000,47,1,0.0007778101563388351,0.00010604839216939132,0.03125,0.0881892179359467,0.08684135791563312,0.00023591671552280664,2.6052407374689937,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:32:10.000000000,2023-02-06T14:33:08.000000000,48,1,8.454257886932314e-05,1.8089606696174994e-05,0.03125,0.08258949914162758,0.08164425598252231,0.00015524083352527128,2.4493276794756693,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:32:40.000000000,2023-02-06T14:33:38.000000000,49,1,0.0018574201970041591,0.0002724987211732671,0.03125,0.11063034236646768,0.10792764083326259,0.0005906969962881259,3.2378292249978777,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:33:10.000000000,2023-02-06T14:34:08.000000000,50,1,0.0022439522846340004,0.00031670558313379453,0.03125,0.15228447610877704,0.1499279807060134,0.0007121622651419483,4.497839421180403,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:33:40.000000000,2023-02-06T14:34:38.000000000,51,1,0.0008598831595649258,0.00012493236947927537,0.03125,0.1818844826278534,0.18144002013354443,0.00016148411474089182,5.443200604006332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:34:10.000000000,2023-02-06T14:35:08.000000000,52,1,5.3497913586252364e-05,7.881652375083024e-06,0.03125,0.193660476448224,0.19361931398603976,1.594138972847448e-05,5.808579419581193,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:34:40.000000000,2023-02-06T14:35:38.000000000,53,1,0.0019309963074473464,0.0003251046916448772,0.03125,0.2133018229785606,0.21257988285110146,0.0003074610929891648,6.377396485533044,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:35:10.000000000,2023-02-06T14:36:08.000000000,54,1,0.0006443856660926858,0.00010671883074094364,0.03125,0.24561351665156314,0.24474852000442476,0.00042416151759137714,7.342455600132743,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:35:40.000000000,2023-02-06T14:36:38.000000000,55,1,0.0011887427992134422,0.0001704178859077122,0.03125,0.2798075243864794,0.27894267741107703,0.00048323342203010635,8.368280322332309,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:36:10.000000000,2023-02-06T14:37:08.000000000,56,1,0.0005728474838150419,0.00018906717340160325,0.03125,0.31253309137319724,0.31199926736882405,0.00033339036460433027,9.35997802106472,0.0,0.0,0.0,0.0,0.0,0.0,0.0
