segment_start,segment_end,segment_idx,current_state_binary,m2_speed_psd_peak,m2_speed_psd_mean_energy,m2_speed_psd_peak_freq,m2_speed_rms,m2_speed_mean,m2_speed_variance,m2_speed_fft_peak,o8_compressor_psd_peak,o8_compressor_psd_mean_energy,o8_compressor_psd_peak_freq,o8_compressor_rms,o8_compressor_mean,o8_compressor_variance,o8_compressor_fft_peak,current_task_duration_psd_peak,current_task_duration_psd_mean_energy,current_task_duration_psd_peak_freq,current_task_duration_rms,current_task_duration_mean,current_task_duration_variance,current_task_duration_fft_peak
2023-02-06T14:29:10.000000000,2023-02-06T14:30:08.000000000,42,1,0.0,0.0,0.0,0.5,0.5,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:29:40.000000000,2023-02-06T14:30:38.000000000,43,1,0.0,0.0,0.0,0.5,0.5,0.0,15.0,0.0,0.0,0.0,0.00019284139142932666,-3.5207860035508586e-05,3.594820884011882e-08,0.0010562358010652575,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:30:10.000000000,2023-02-06T14:31:08.000000000,44,1,1.5806587061836244e-07,3.27780082478194e-08,0.03125,0.5000201456885878,0.500019792381649,3.5332104915529024e-07,15.000593771449472,2.1072174971363984e-05,4.597330237841745e-06,0.09375,0.006373035690956687,-0.0003603608202369752,4.048572399744591e-05,0.07573012285213591,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:30:40.000000000,2023-02-06T14:31:38.000000000,45,1,0.00010348431425346486,2.0710090162270357e-05,0.09375,0.49732951751495985,0.4965993152224784,0.0007257691122282558,14.897979456674353,0.016668760047391734,0.006277775780892018,0.09375,0.11304714244233151,0.03359950642960092,0.011650729582064001,1.0266834821945818,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:31:10.000000000,2023-02-06T14:32:08.000000000,46,1,0.7311916071150214,0.15911592874987676,0.03125,0.6088850319849562,0.5293540703043045,0.09052525042758681,15.880622109129135,0.29755870823925085,0.07675759535115806,0.0625,0.1131701765293086,0.03372266927348718,0.011670270432745877,1.0298258753645064,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:31:40.000000000,2023-02-06T14:32:38.000000000,47,1,1.864672674605944,0.28376252487360243,0.03125,0.6151573780360224,0.5367674548300699,0.09029929918740276,16.1030236449021,0.0004928985602763393,9.417518435139218e-05,0.09375,0.008276366344804168,-0.00023096523623206423,6.84448949330594e-05,0.09984417237610653,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:32:10.000000000,2023-02-06T14:33:08.000000000,48,1,0.0013875718784170606,0.00035701256023624214,0.09375,0.5049369916448545,0.50395947064738,0.000986217476168517,15.118784119421399,4.6557967828834827e-08,1.1825458447575102e-08,0.03125,0.0002956390694179186,-2.897511991685633e-05,8.656290179209672e-08,0.0021480695145263944,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:32:40.000000000,2023-02-06T14:33:38.000000000,49,1,1.631158696181708e-06,4.417230408346419e-07,0.09375,0.49996724398434056,0.4999665632807851,6.806584978831929e-07,14.998996898423552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:33:10.000000000,2023-02-06T14:34:08.000000000,50,1,0.0,0.0,0.0,0.5,0.5,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:33:40.000000000,2023-02-06T14:34:38.000000000,51,1,0.0,0.0,0.0,0.5,0.5,0.0,15.0,0.0,0.0,0.0,0.00023857351576663072,-6.0852560707611085e-05,5.3214288280577316e-08,0.0018255768212283325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:34:10.000000000,2023-02-06T14:35:08.000000000,52,1,1.7675145660348692e-07,4.6509199255444626e-08,0.03125,0.4999064601071764,0.49990557500633737,8.849344711404841e-07,14.99716725019012,3.487086711543571e-05,7.072736884580409e-06,0.09375,0.0072057337510442205,-0.0009742830458413273,5.097337143752395e-05,0.086777314712104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:34:40.000000000,2023-02-06T14:35:38.000000000,53,1,0.0002690363187823375,5.1033753833551385e-05,0.09375,0.4893135661444391,0.48435735412077735,0.004825719522108233,14.530720623623322,0.045425963332018926,0.013021761891186347,0.03125,0.11312034443829758,0.03436846893988229,0.01161502066856743,1.047593611741975,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:35:10.000000000,2023-02-06T14:36:08.000000000,54,1,1.006221796461585,0.19857282444407662,0.03125,0.6081903688750318,0.5183681918136721,0.10118994250817118,15.551045754410165,0.27831278313021807,0.06956495748606022,0.0625,0.11312034443829758,0.034368468939882275,0.01161502066856743,1.047593611741975,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:35:40.000000000,2023-02-06T14:36:38.000000000,55,1,1.9975021534354447,0.33912020145222627,0.03125,0.6156968699876378,0.5324569666404161,0.09557221438866118,15.97370899921248,0.00032621929414297505,6.833291670564588e-05,0.09375,0.007205733751044217,-0.0009742830458413264,5.0973371437523915e-05,0.08677731471210397,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:36:10.000000000,2023-02-06T14:37:08.000000000,56,1,0.001033046623758316,0.0002075538815380975,0.09375,0.4985589678162938,0.4983928998466572,0.00016556177248814522,14.951786995399717,1.2690158659284782e-07,2.3519351626784188e-08,0.0,0.00023857351576663058,-6.085256070761104e-05,5.321428828057725e-08,0.0018255768212283312,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:36:40.000000000,2023-02-06T14:37:38.000000000,57,1,8.635478641784515e-07,2.641024762206517e-07,0.09375,0.499852614591262,0.4998523459054734,2.6860651575179815e-07,14.995570377164201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:37:10.000000000,2023-02-06T14:38:08.000000000,58,1,0.0,0.0,0.0,0.5,0.5,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
